uid,org,work_location,certification,issue_date,type
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM MQ Developer Essentials,2021-10-05,badge
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Solution Advisor - IBM Cloud Foundations V2,2021-01-02,badge
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-05-27,badge
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Essentials,2020-02-06,badge
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2019-01-23,badge
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2018-10-24,badge
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-11-23,badge
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Electronics Industry Foundations,2017-11-08,badge
070857781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-08-13,badge
070216781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-12-25,badge
070216781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-02-03,badge
070216781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-12-15,badge
071174781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2021-10-01,badge
071174781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2020-11-05,badge
071174781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Consulting,2018-06-25,badge
071174781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-05-09,badge
071174781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Associate Project Manager,2016-10-21,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Growth Behaviors,2023-01-04,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Accessibility Advocate,2022-05-21,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers - Bronze,2021-12-09,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers Engagement Award,2021-07-21,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",P-TECH Mentor,2021-07-20,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-06-15,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2021-04-21,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Team Solution Design,2020-04-08,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2020-03-24,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2019-12-26,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2018-10-26,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2018-09-06,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-03-14,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2017-05-06,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2017-05-06,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-05-05,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Analytics - Level 1,2017-02-18,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-02-09,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",API Management Concepts,2017-02-07,badge
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scrum Master Accredited (12 Oct 2017),,external certification
071892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sun Certified Programmer for Java 1.5 (07 May 2009),,external certification
062941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-28,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2018-10-26,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Member - IBM Academy of Technology,2018-11-01,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevSecOps Essentials,2022-11-10,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2022-10-18,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Academic Ambassador Advocate,2022-05-25,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2022-02-26,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-11-11,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2020-09-03,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-06-18,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Speaker/ Presenter,2020-03-09,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-07-29,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2018-05-07,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-02-11,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2018-02-08,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2017-12-07,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2017-11-30,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2017-05-27,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Associate Project Manager,2016-10-21,badge
066200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Project Management Professional (PMP) (12 Apr 2010),,external certification
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2022-03-16,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Virtual Collaborator,2021-10-25,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2020-08-18,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2019-12-09,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Finance & Accounting Essentials,2018-09-01,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-03-27,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2017-08-11,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2017-07-07,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2017-06-28,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-05-27,badge
066752781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",SAP Certified Solution Consultant Supply Chain Management - Order Fulfillment with SAP ERP 2005 (13 Feb 2012),,external certification
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-10-12,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Privacy Foundations,2022-10-08,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Growth Behaviors,2022-09-05,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Trustworthy AI and AI Ethics,2022-03-24,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2022-03-24,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2021-09-28,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Associate Project Manager,2021-06-01,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Accessibility Advocate,2021-05-27,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Mindset, Learning Agility, Time Management",2021-02-20,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Advocate,2021-01-20,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Virtual Collaborator,2020-08-04,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-05-29,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2020-05-22,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Explorer Project Manager,2020-05-07,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Kubernetes Service,2019-11-20,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2019-11-02,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Achiever,2019-06-07,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Problem Solving, Emotional Intelligence",2019-06-05,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-10-12,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2018-09-15,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-02-08,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2017-12-28,badge
070634781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-11-18,badge
069994781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2021-05-02,badge
069994781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2021-04-25,badge
069994781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-01-22,badge
069994781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-13,badge
069994781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2019-05-28,badge
069994781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Virtual Selling - Foundation,2018-12-24,badge
069994781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2017-09-28,badge
069994781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Systems Foundations v1,2017-09-21,badge
079639781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-07-31,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate Leader,2022-10-07,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2021-11-23,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Coach,2021-05-10,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2020-12-30,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-08-06,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-07-06,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2020-04-13,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-01,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2019-07-30,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2019-06-12,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2019-06-07,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IGNITE Membership,2018-12-01,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-07-03,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2018-03-28,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Financial Markets Industry Jumpstart,2018-03-06,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",PMI Agile Certified Practitioner (PMI-ACP)®,2017-12-13,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2017-05-09,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Associate Project Manager,2016-10-21,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Professional Scrum Master™ I (PSM I),2016-10-05,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Project Management Professional (PMP)®,2012-03-26,badge
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",(CSM) Certified Scrum Master (05 Oct 2016),,external certification
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Professional Scrum Master I (05 Oct 2016),,external certification
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","Certified Tester, Foundation Level Agile Tester (22 Oct 2015)",,external certification
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",ISTQB Certified Testing Foundation Level Agile (22 Oct 2015),,external certification
075409781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","Certified Tester, Foundation Level (29 Jun 2009)",,external certification
002067781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",License to Lead - First-Line Manager,2022-10-31,badge
002067781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-01-07,badge
076789781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-16,badge
076789781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Advisory Project Manager,2016-10-21,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",License to Lead - Senior Manager,2022-02-28,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Coach,2021-05-10,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2020-05-13,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Plateau,2018-12-01,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",First Patent File,2018-10-01,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Patent Issuance,2018-10-01,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers - Silver,2018-03-02,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Champion,2018-01-11,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-01-09,badge
077401781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-09-15,badge
000545781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-05-15,badge
000545781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - DevOps Fundamentals,2022-01-01,badge
000545781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Object Storage (COS) Service Fundamentals,2021-12-29,badge
000545781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Carbon Design System Developer Essentials - React,2020-05-29,badge
000545781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-02-25,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Machine Learning Specialist - Associate,2022-05-20,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Mentor,2022-05-17,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/Educator,2022-05-17,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate Data Scientist,2022-02-21,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Methodologies,2022-02-15,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Tools,2021-11-12,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2021-10-18,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-06-21,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Analysis Using Python,2021-06-04,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Build Your Own Chatbot - Level 1,2021-06-02,badge
003465781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2021-05-31,badge
063737781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2021-07-27,badge
063737781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-11-18,badge
063737781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-07-31,badge
063737781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2019-07-31,badge
063737781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-09-04,badge
063737781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",SFC™-Scrum Fundamentals Certified (13 Jun 2016),,external certification
076663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",JSNSD: OpenJS Node.js Services Developer,2021-10-28,badge
076663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",JSNAD: OpenJS Node.js Application Developer,2021-05-06,badge
076663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-03-11,badge
076663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-06-28,badge
076663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2019-06-15,badge
076663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-01-31,badge
076663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-07-22,badge
076663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Java Developer,2017-03-22,badge
002867781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Speaker/ Presenter,2020-08-05,badge
002867781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2020-06-17,badge
002867781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2020-04-01,badge
108482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Methodologies,2022-10-11,badge
108482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Be Equal Ally,2022-09-20,badge
108482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2022-05-29,badge
070677781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Speaker/ Presenter,2020-12-14,badge
070677781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Methodologies,2020-05-18,badge
070677781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 2 (V2),2020-05-18,badge
070677781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-02-25,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private - Continuous Integration/Continuous Delivery Pipelines,2021-12-30,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2021-12-02,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-06-27,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2020-10-29,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Getting started with Microservices with Istio and IBM Cloud Kubernetes Service,2020-10-29,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Beyond the Basics: Istio and IBM Cloud Kubernetes Service,2020-10-29,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","Containers, K8s and Istio on IBM Cloud",2020-10-29,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Advocate,2020-09-22,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Service Management and Operations - Advanced V2,2020-09-22,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Service Management and Operations Explorer,2020-09-22,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Carbon Design System Developer Essentials - React,2020-05-08,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-03-23,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-03-23,badge
077633781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2019-09-26,badge
103267781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-05-13,badge
103267781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2021-01-24,badge
103267781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-11-11,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2020-12-15,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Advocate,2021-06-24,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-06-24,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2020-11-25,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Team Solution Design,2020-04-08,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private Infrastructure and Architecture,2019-12-17,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-16,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-06-04,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Carbon Design System Developer Essentials - React,2020-05-08,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2020-03-21,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Kubernetes Service,2019-08-14,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2019-06-13,badge
076461781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2019-03-27,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Trustworthy AI and AI Ethics,2022-12-23,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2022-12-23,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate Product Manager,2022-12-23,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate Data Scientist,2022-01-01,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Methodologies,2021-12-29,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Tools,2021-12-28,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2021-06-04,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Databases and SQL for Data Science,2020-12-30,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2020-12-28,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-09-16,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-09-14,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Speaker/ Presenter,2020-08-10,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-06-26,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2020-06-26,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2020-03-27,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2019-01-08,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Knowledge Studio Methodology,2018-12-03,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Build Chatbots with Watson Conversation,2017-11-15,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Solution Advisor - Cloud Computing Architecture V5,2017-10-25,badge
000332781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-06-30,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Machine Learning Essentials,2022-06-30,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Tools,2021-10-18,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science with Scala,2020-11-20,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 2,2020-11-20,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark Overview for Scala Analytics,2020-11-15,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-11-15,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2020-09-29,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2020-07-02,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2020-06-05,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-03-27,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-03-16,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2019-09-17,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 2,2019-09-17,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2019-09-17,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2019-09-03,badge
07746D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2019-08-02,badge
